Item,Measurement,SlopeBT,SlopeCI
Alcoholic beverages,Calories,4.90E-06,4.57E-06
Apples,Calories,2.21E-05,2.63E-06
Bananas & plantains,Calories,-8.27E-05,7.10E-06
Barley & beer,Calories,-3.62E-06,6.64E-06
Beans,Calories,-5.75E-05,5.19E-06
Cassava,Calories,-0.000330105,9.77E-06
Cereals (other),Calories,-0.000154309,3.86E-06
Citrus (other),Calories,1.49E-06,7.62E-07
Cloves,Calories,4.97E-07,2.03E-07
Cocoa beans,Calories,7.10E-05,2.36E-06
Coconuts,Calories,-0.000222505,7.49E-06
Coffee,Calories,7.32E-06,1.36E-06
Cottonseed oil,Calories,-5.66E-05,3.02E-06
Dates,Calories,-1.16E-05,1.98E-06
Fermented beverages,Calories,-5.77E-05,2.82E-06
Fruits (other),Calories,-1.02E-05,5.05E-06
Grapefruit,Calories,1.43E-05,1.14E-06
Grapes & wine,Calories,-8.10E-05,4.42E-06
Groundnut,Calories,-0.000124686,6.00E-06
Lemons & limes,Calories,2.56E-06,8.75E-07
Maize,Calories,3.66E-05,1.84E-05
Millets,Calories,-0.000243943,6.34E-06
Oats,Calories,-3.07E-06,1.69E-06
Oilcrops (other),Calories,4.04E-05,4.38E-06
Olives,Calories,5.56E-06,4.03E-06
Onions,Calories,3.62E-05,2.13E-06
Oranges & mandarines,Calories,3.32E-05,2.79E-06
Palm oil,Calories,0.000360394,6.27E-06
Peas,Calories,5.43E-06,2.24E-06
Pepper,Calories,4.66E-06,6.00E-07
Pimento,Calories,9.06E-06,1.39E-06
Pineapples,Calories,2.22E-05,1.46E-06
Potatoes,Calories,-6.34E-06,7.47E-06
Pulses (other),Calories,-8.01E-05,5.58E-06
Rape & mustard,Calories,0.000208851,3.97E-06
Rice,Calories,0.000170145,2.62E-05
Roots (other),Calories,-0.000164771,5.39E-06
Rye,Calories,-0.000154778,3.62E-06
Sesame,Calories,1.89E-05,2.15E-06
Sorghum,Calories,-0.000350893,7.36E-06
Soybean,Calories,0.000557908,8.14E-06
Spices (other),Calories,2.90E-05,1.68E-06
Sugar,Calories,-8.75E-05,2.35E-05
Sunflower,Calories,0.000275878,5.45E-06
Sweet potatoes,Calories,-0.000138633,4.62E-06
Sweeteners (other),Calories,0.000136131,3.14E-06
Tea,Calories,9.81E-07,7.11E-07
Tomatoes,Calories,4.54E-05,2.41E-06
Treenuts,Calories,6.40E-05,2.97E-06
Vegetables (other),Calories,0.000108457,5.82E-06
Wheat,Calories,0.000209546,3.48E-05
Yams,Calories,-4.44E-05,4.28E-06
Barley & beer,Fat,-6.21E-05,2.08E-05
Beans,Fat,-7.50E-05,3.51E-05
Cereals (other),Fat,-6.54E-05,2.20E-05
Citrus (other),Fat,-8.68E-06,1.01E-05
Cloves,Fat,5.89E-06,7.16E-06
Cocoa beans,Fat,0.000135683,4.70E-05
Coconuts,Fat,-0.00234675,0.000118055
Cottonseed oil,Fat,-0.000650733,6.19E-05
Fruits (other),Fat,-0.000263863,5.22E-05
Groundnut,Fat,-0.001515486,9.94E-05
Maize,Fat,3.58E-05,8.46E-05
Millets,Fat,-0.000236942,3.73E-05
Oats,Fat,-2.89E-05,2.56E-05
Oilcrops (other),Fat,-0.000273672,8.09E-05
Olives,Fat,-0.000442295,7.76E-05
Palm oil,Fat,0.001478126,0.000101549
Pepper,Fat,1.10E-05,7.41E-06
Pineapples,Fat,2.76E-06,8.85E-06
Pulses (other),Fat,-0.000196394,4.26E-05
Rape & mustard,Fat,0.001041572,6.85E-05
Roots (other),Fat,-7.47E-05,2.45E-05
Rye,Fat,-4.83E-05,1.85E-05
Sesame,Fat,2.20E-05,4.49E-05
Sorghum,Fat,-0.000306357,4.16E-05
Soybean,Fat,0.002269977,0.000120279
Spices (other),Fat,9.54E-05,3.52E-05
Sunflower,Fat,0.00113878,9.14E-05
Sweeteners (other),Fat,-1.99E-06,4.55E-06
Treenuts,Fat,0.0001078,5.30E-05
Vegetables (other),Fat,-0.000211332,5.10E-05
Wheat,Fat,-0.000220056,7.82E-05
Alcoholic beverages,Protein,6.22E-06,4.88E-06
Barley & beer,Protein,-9.70E-05,4.76E-05
Beans,Protein,-6.49E-05,6.57E-05
Cassava,Protein,-0.000108189,4.05E-05
Cereals (other),Protein,-0.00012705,3.78E-05
Citrus (other),Protein,1.49E-05,1.16E-05
Cocoa beans,Protein,0.00010662,3.40E-05
Coconuts,Protein,-3.63E-05,3.40E-05
Dates,Protein,-6.51E-06,1.62E-05
Fermented beverages,Protein,-2.70E-05,2.11E-05
Fruits (other),Protein,-1.95E-05,4.53E-05
Groundnut,Protein,3.48E-05,5.03E-05
Maize,Protein,-6.42E-06,0.000103763
Millets,Protein,-0.00026623,4.68E-05
Oats,Protein,1.14E-05,2.70E-05
Oilcrops (other),Protein,4.78E-05,2.19E-05
Onions,Protein,4.53E-05,3.85E-05
Oranges & mandarines,Protein,7.43E-05,3.62E-05
Peas,Protein,0.000116841,3.74E-05
Pepper,Protein,7.89E-05,1.53E-05
Pimento,Protein,3.98E-05,2.68E-05
Pineapples,Protein,3.91E-05,1.41E-05
Potatoes,Protein,-6.58E-05,5.72E-05
Pulses (other),Protein,-0.000157152,6.95E-05
Rape & mustard,Protein,0.000149897,2.24E-05
Rice,Protein,0.000288905,0.000118551
Roots (other),Protein,-0.000124126,3.83E-05
Rye,Protein,-0.000172309,3.07E-05
Sesame,Protein,9.60E-05,2.58E-05
Sorghum,Protein,-0.000427321,5.62E-05
Soybean,Protein,0.000178212,3.57E-05
Spices (other),Protein,0.000201316,3.14E-05
Sunflower,Protein,7.28E-05,1.49E-05
Sweet potatoes,Protein,-6.90E-05,3.35E-05
Sweeteners (other),Protein,1.07E-05,6.50E-06
Treenuts,Protein,0.000154259,3.63E-05
Vegetables (other),Protein,0.000169056,6.45E-05
Wheat,Protein,0.000579177,0.000169016
Yams,Protein,-1.29E-05,3.07E-05
Alcoholic beverages,Weight,2.31E-06,4.35E-06
Apples,Weight,0.000138762,7.03E-06
Bananas & plantains,Weight,-0.000185473,1.48E-05
Barley & beer,Weight,0.000330347,1.56E-05
Beans,Weight,-2.89E-05,4.52E-06
Cassava,Weight,-0.000570821,1.63E-05
Cereals (other),Weight,-8.82E-05,3.80E-06
Citrus (other),Weight,1.65E-05,2.67E-06
Cloves,Weight,5.46E-07,3.04E-07
Cocoa beans,Weight,2.30E-05,2.12E-06
Coconuts,Weight,-0.000150416,8.69E-06
Coffee,Weight,2.57E-05,3.49E-06
Cottonseed oil,Weight,-1.17E-05,1.74E-06
Dates,Weight,-1.16E-05,2.68E-06
Fermented beverages,Weight,-0.000220983,7.44E-06
Fruits (other),Weight,-1.86E-05,1.40E-05
Grapefruit,Weight,0.000117367,4.39E-06
Grapes & wine,Weight,-0.000203501,9.40E-06
Groundnut,Weight,-2.72E-05,3.63E-06
Lemons & limes,Weight,2.38E-05,3.66E-06
Maize,Weight,-8.89E-06,1.40E-05
Millets,Weight,-0.000144093,5.93E-06
Oats,Weight,-2.27E-06,1.98E-06
Oilcrops (other),Weight,8.11E-06,2.54E-06
Olives,Weight,2.17E-05,2.78E-06
Onions,Weight,0.000161069,5.98E-06
Oranges & mandarines,Weight,0.000329676,9.96E-06
Palm oil,Weight,6.84E-05,3.25E-06
Peas,Weight,3.49E-06,2.08E-06
Pepper,Weight,4.44E-06,9.79E-07
Pimento,Weight,6.07E-06,1.50E-06
Pineapples,Weight,7.91E-05,4.09E-06
Potatoes,Weight,4.82E-06,1.61E-05
Pulses (other),Weight,-4.16E-05,4.81E-06
Rape & mustard,Weight,4.53E-05,2.27E-06
Rice,Weight,6.30E-05,1.77E-05
Roots (other),Weight,-0.000343853,9.82E-06
Rye,Weight,-9.99E-05,3.63E-06
Sesame,Weight,8.21E-06,1.50E-06
Sorghum,Weight,-0.000194825,6.55E-06
Soybean,Weight,0.000113839,4.23E-06
Spices (other),Weight,1.27E-05,1.67E-06
Sugar,Weight,-2.41E-05,1.68E-05
Sunflower,Weight,5.49E-05,2.92E-06
Sweet potatoes,Weight,-0.000248818,8.03E-06
Sweeteners (other),Weight,0.000101672,3.43E-06
Tea,Weight,5.13E-06,2.11E-06
Tomatoes,Weight,0.00039358,1.02E-05
Treenuts,Weight,4.54E-05,3.12E-06
Vegetables (other),Weight,0.00053726,2.34E-05
Wheat,Weight,-5.31E-05,2.80E-05
Yams,Weight,-8.17E-05,7.34E-06
